Proto_Germanic_Ancestor,Meaning,Target_Old_English,Modern_English,Modern_German,Modern_Dutch,Modern_Swedish
skulaną,to owe,sċulan,shall,sollen,zullen,skola
aiganą,"to possess, to own, to have",āgan,owe,eigen,eigen,äga
fallaną,to fall,feallan,fall,fallen,vallen,falla
geutaną,to pour,ġēotan,yet,gießen,gieten,gjuta
haitaną,"to address, call, summon",hātan,hight,heißen,heten,heta
nemaną,to take,niman,nim,nehmen,nemen,nimma
rīdaną,to ride,rīdan,ride,reiten,rijden,rida
teuhaną,to lead,tēon,tee,ziehen,tijgen,-
dōną,"to do, make",dōn,do,tun,doen,don
drinkaną,to drink,drincan,drink,trinken,drinken,dricka
kwemaną,to come,cuman,come,kommen,komen,komma
lētaną,"to let, to allow",lǣtan,let,lassen,laten,låta
duganą,"to be useful, to avail",dugan,dow,taugen,deugen,duga
munaną,"to think, to consider, to believe",munan,mun,-,-,månde
mōtaną,"to be allowed, to be permitted to, may",mōtan,mote,müssen,moeten,måste
laizijaną,to teach,lǣran,lear,lehren,leren,lära
faraną,"to go, to travel",faran,fare,fahren,varen,fara
farjaną,"to take somewhere, to carry, to ferry",ferian,ferry,Ferge,veren,färja
fōrijaną,to cause (one) to go; lead (someone; take (someone's) lead,fēran,fure,führen,voeren,föra
finþaną,"to find, to discover, to come upon",findan,find,finden,vinden,finna
bindaną,"to bind, to tie",bindan,bind,binden,binden,binda
beudaną,"to offer, to bid",bēodan,bid,bieten,bieden,bjuda
fehtaną,"to comb, detangle",feohtan,fight,fechten,vechten,fäkta
þunraz,thunder,þunor,thunder,Donner,donder,tordön
fehu,"livestock, cattle",feoh,fee,Vieh,vee,fä
tanþs,tooth,tōþ,tooth,Zahn,tand,tand
mūs,mouse,mūs,mouse,Maus,muis,mus
segaz,"victory, triumph",sigor,-,Sieg,zege,seger
friþuz,"love, friendship",friþ,frith,Friede,vrede,fred
hauzijaną,to hear,hīeran,hear,hören,horen,höra
sprekaną,to speak,sprecan,speak,sprechen,spreken,-
sēaną,"to sow, to disperse (seeds)",sāwan,sow,säen,zaaien,så
wēaną,to blow (of wind),wāwan,-,wehen,waaien,-
tēkaną,to touch,tacan,take,-,taken,taga
rēdaną,"to decide, advise",rǣdan,read,raten,raden,råda
grētaną,"to weep, to cry",grǣtan,greet,grassen,greten,gråta
skaiþaną,to separate,sċēadan,shed,scheiden,scheiden,skeda
fanhaną,"to take, to seize",fōn,fang,fangen,vangen,få
falþaną,to fold,faldan,fold,falten,vouwen,fålla
aukaną,"to increase, to grow",ēacan,eke,-,oken,öka
gōdaz,good,gōd,good,gut,goed,god
hundą,a great hundred (120),hund,-,hunt,hond,-
anþeraz,second,ōþer,other,anderer,ander,annan
swerdą,sword,sweord,sword,Schwert,zwaard,svärd
swarjaną,to swear (an oath),swerian,swear,schwören,zweren,svära
bīdaną,to wait,bīdan,bide,beiten,beiden,bida
werþaną,to become,weorþan,worth,werden,worden,varda
dōmijaną,to judge,dēman,deem,-,doemen,döma
salbōną,"to salve, to anoint",sealfian,salve,salben,-,-
fadēr,father,fæder,father,Vater,vader,fader
mōdēr,mother,mōdor,mother,Mutter,moeder,moder
brōþēr,brother,brōþor,brother,Bruder,broeder,broder
swestēr,sister,sweostor,sister,Schwester,zuster,syster
duhtēr,daughter,dohtor,daughter,Tochter,dochter,dotter
fedurþô,fourth,fēorþa,fourth,vierte,vierde,fjärde
fimftô,fifth,fīfta,fifth,fünfte,vijfde,femte
sehtô,sixth,sixta,sixth,sechste,zesde,sjätte
sebundô,seventh,seofoþa,seventh,siebente,zevende,sjunde
ahtudô,eighth,eahtoþa,eighth,achte,-,åttonde
newundô,ninth,niġoþa,ninth,neunte,negende,nionde
tehundô,tenth,tēoþa,tithe,zehnte,tiende,tionde
stelaną,to steal,stelan,steal,stehlen,stelen,stjäla
kuningaz,king,cyning,king,König,koning,konung
augô,eye,ēage,eye,Auge,oog,öga
tīmô,time,tīma,time,-,-,timme
þankōną,to thank,þancian,thank,danken,danken,tacka
handuz,hand,hand,hand,Hand,hand,hand
hundaz,dog,hund,hound,Hund,hond,hund
-ingaz,"forms derivatives of nouns with sense of ""belonging to, coming from, descending from""",-ing,-ing,-ing,-ing,-ing
-iskaz,Forms adjectives from nouns with the sense “characteristic of; pertaining to”.,-isċ,-ish,-isch,-s,-sk
-į̄,"-th. Forms abstract nouns from adjectives which represent 'the state, quality or measure of' the adjective.",-u,-,-e,-e,-
hūsą,house,hūs,house,Haus,huis,hus
wintruz,winter,winter,winter,Winter,winter,vinter
kunją,"kin, family, clan",cynn,kin,Künne,kunne,kön
meduz,intoxicating drink,medu,mead,Met,mede,mjöd
helmaz,helmet,helm,helm,Helm,helm,hjälm
stadiz,"place, location",stede,stead,Stadt,stad,stad
fiskaz,fish,fisċ,fish,Fisch,vis,fisk
fuglaz,bird,fugol,fowl,Vogel,vogel,fågel
habukaz,hawk,hafuc,hawk,Habicht,havik,hök
jungaz,young,ġeong,young,jung,jong,ung
tamaz,tame,tam,tame,zahm,tam,tam
gebaną,to give (with dative object),ġiefan,yive,geben,geven,giva
þunnuz,thin,þynne,thin,dünn,dun,tunn
snaiwaz,snow,snāw,snow,Schnee,sneeuw,snö
snīwaną,to snow,snīwan,snew,schneien,snuwen,snö
dailiz,"part, portion, deal",dǣl,deal,Deal,deil,del
harjaz,army,here,-,Heer,heer,här
langaz,long,lang,long,lang,lang,lång
hauhaz,high,hēah,high,high,hoog,hög
harduz,hard,heard,hard,hart,hard,hård
niwjaz,new,nīewe,new,neu,nieuw,ny
weganą,"to move, to carry",wegan,weigh,wiegen,wegen,väga
munþaz,mouth,mūþ,mouth,Mund,muide,mun
dailą,"part, portion, deal",dāl,dole,Teil,deel,-
kōz,cow,cū,cow,Kuh,koe,ko
deupaz,deep,dēop,deep,tief,diep,djup
lēgaz,low,*lǣġe,low,läg,laag,låg
saltą,salt,sealt,salt,Salz,zout,salt
raudaz,red,rēad,red,rot,rood,röd
wīdaz,wide,wīd,wide,weit,wijd,vid
braudą,bread,brēad,bread,Brot,brood,bröd
hlaibaz,bread,hlāf,loaf,Laib,-,lev
fullaz,full (not empty),full,full,voll,vol,full
hirdijaz,"herder, herdsman",hierde,herd,Hirte,herde,herde
īsą,ice,īs,ice,Eis,ijs,is
watōr,water,wæter,water,Wasser,water,vatten
metaną,to measure,metan,mete,messen,meten,mäta
lakō,a gully or stream,lacu,lake,Lake,laak,lake
dēdiz,"deed, act",dǣd,deed,Tat,daad,dåd
liudiz,"man, person",lēod,lede,Leute,lieden,-
armaz,arm,earm,arm,Arm,arm,arm
armaz,"poor, miserable",earm,arm,arm,arm,arm
mīmrōną,"to think, keep in mind, be mindful, muse.",mimorian,mimmer,-,mijmeren,-
akaną,to ache,acan,ache,-,akelig,-
beuną,to be,bēon,be,bin,ben,-
ahwō,"stream, river",ēa,ea,Ach,a,å
awjō,floodplain; meadow,īeġ,ey,Au,Ooij,ö
faimaz,foam,fām,foam,Feim,-,-
aiz,"copper, bronze",ār,ore,ehern,eer,ärg
ausô,ear,ēare,ear,Ohr,oor,öra
awiz,ewe,eowu,ewe,Aue,ooi,-
batistaz,superlative degree of *gōdaz,betest,best,beste,best,bäst
batizô,comparative degree of *gōdaz,betera,better,besser,beter,bättre
brugjǭ,bridge,bryċġ,bridge,Brücke,brug,brygga
anstiz,"favour, affection",ǣst,est,-,-,ast
hlaupaną,"to jump forward, to leap",hlēapan,leap,laufen,lopen,löpa
rinnaną,"to run, to rush (move quickly)",rinnan,run,rennen,rinnen,rinna
rannijaną,to cause to run,*rennan,-,rennen,rennen,ränna
springaną,"to spring, to jump up",springan,spring,springen,springen,springa
sprangijaną,to cause to spring,sprenġan,springe,sprengen,sprengen,spränga
fleuhaną,to flee,flēon,flee,fliehen,vlieden,fly
fleuganą,to fly,flēogan,fly,fliegen,vliegen,flyga
fallijaną,"to cause to fall, to fell",fiellan,fell,fällen,vellen,fälla
wadaną,"to go, walk",wadan,wade,waten,waden,vada
skabaną,"to shave, to scrape",sċafan,shave,schaben,schaven,skava
slahaną,"to hit, to strike",slēan,slay,schlagen,slaan,slå
aplaz,"apple, fruit",æppel,apple,Appel,appel,-
bītaną,to bite,bītan,bite,beißen,bijten,bita
snīþaną,to cut,snīþan,snithe,schneiden,snijden,snida
skīnaną,to shine,sċīnan,shine,scheinen,schijnen,skina
kleubaną,"to split, to cleave",clēofan,cleave,klieben,klieven,klyva
brewwaną,to brew,brēowan,brew,brauen,brouwen,brygga
kewwaną,to chew,ċēowan,chew,kauen,kauwen,tugga
hrewwaną,"to grieve, to feel sorrow",hrēowan,rue,reuen,rouwen,-
lūkaną,"to close, to shut",lūcan,lock,lauchen,luiken,lucka
stundō,"mark, marker",stund,stound,Stunde,stond,stund
brinnaną,"to burn, to be on fire",biernan,burn,brinnen,barnen,brinna
brannijaną,"to cause to burn, to set on fire",bærnan,bren,brennen,barnen,brinna
swimmaną,to be unsteady,swimman,swim,schwimmen,zwemmen,simma
felhaną,"to enter, to go inside",fēolan,feal,-,velen,fjöla
brūkaną,"to make use of, employ, use, consume",brūcan,brook,brauchen,bruiken,bruka
framaþiz,"foreign, alien, strange",fremde,fremd,fremd,vreemd,främmad
bautaną,"to beat, knock, bump, push",bēatan,beat,boßen,boten,-
fōr,fire,fȳr,fire,Feuer,vuur,fyr
lesaną,"to gather, collect",lesan,lease,lesen,lezen,läsa
þinhaną,to thrive,þīon,thee,gedeihen,dijen,-
flehtaną,"to plait, to weave, to braid",fleohtan,-,flechten,vlechten,fläta
þreskaną,to thresh,þersċan,thresh,dreschen,dorsen,tröska
skeraną,to shear,sċieran,shear,scheren,scheren,skära
teraną,to tear; snatch or pull off (from); tug,teran,tear,zehren,-,tära
helaną,"to hide, to conceal",helan,hele,hehlen,helen,häla
temaną,to fit,*teman,teem,ziemen,-,-
stenaną,"to sigh, groan",stenan,-,stöhnen,stenen,-
brekaną,to break,brecan,break,brechen,breken,bräcka
kweþaną,to say,cweþan,quoth,-,-,kväda
wrekaną,"to pursue, to drive out",wrecan,wreak,rächen,wreken,vräka
skapjaną,"to make, to create",sċieppan,shape,schöpfen,scheppen,skapa
hlahjaną,to laugh (+ genitive of thing laughed at),hliehhan,laugh,lachen,lachen,le
wahsijaną,to grow,weaxan,wax,wachsen,wassen,växa
rōaną,to row,rōwan,row,rojen,roeien,ro
hawwaną,"to hew, to chop",hēawan,hew,hauen,houwen,hugga
wurkijaną,"to work, to do work",wyrċan,work,-,-,yrka
atjaną,"to cause/allow to eat, feed (an animal)",ettan,etch,ätzen,etten,-
drankijaną,to cause to drink,drenċan,drench,tränken,drenken,dränka
bilībaną,"to stay, to remain in place",belīfan,belive,bleiben,blijven,bliva
bilaibijaną,"to cause to stay, to leave behind",belǣfan,beleave,-,bleven,-
laibijaną,"to leave behind, to leave remaining",lǣfan,leave,-,-,leva
nazjaną,to save; rescue; heal,nerian,-,nähren,generen,nära
rīsaną,to scale; move vertically (either up or down),rīsan,rise,reisen,rijzen,risa
raizijaną,"to cause (someone, something) to rise; raise",rǣran,rear,-,-,resa
grōtijaną,to cause to weep; make cry,grētan,greet,grüßen,groeten,-
wakjaną,"to wake up, to awaken",wæċċan,watch,wecken,wekken,väcka
sandijaną,to send,sendan,send,senden,zenden,sända
tandijaną,"to kindle, to light on fire",tendan,teend,-,-,tända
tawjaną,"to make, complete",tawian,taw,-,touwen,te
drībaną,"to drive, push, compel to go",drīfan,drive,treiben,drijven,driva
tungǭ,tongue,tunge,tongue,Zunge,tong,tunga
wegaz,way,weġ,way,Weg,weg,väg
breustą,"breast, chest",brēost,brest,-,-,bröst
stamnijō,voice,stemn,stempne,-,stem,stämma
stebnō,voice,stefn,steven,Stimme,stem,-
burgz,"fortification, stronghold",burg,borough,Burg,burg,borg
fōts,foot,fōt,foot,Fuß,voet,fot
nahts,night,niht,night,Nacht,nacht,natt
bōks,"letter, written message, inscriptions carved into a flat object pressed together, “book”",bōc,book,Buch,boek,bok
mēnōþs,month,mōnaþ,month,Monat,maand,månad
magaþs,"maiden, girl",mæġeþ,-,Magd,maagd,-
agaz,fear; dread,eġe,ey,-,-,age
-ô,-ly. Creates adverbs of manner from adjectives.,-o,-e,-,-,-a
-ô,"-er. Forms agent nouns, often from the zero-grade form of the base.",-a,-e,-e,-,-
līką,body,līċ,lich,Leiche,lijk,lik
-līkaz,"-like, -ly. Forms adjectives from nouns and adjectives with the sense of 'similar to, characteristic of'.",-līċ,-ly,-lich,-lijk,-lig
galīkaz,"alike, similar",ġelīc,alike,gleich,gelijk,gelike
ganōgaz,"enough, sufficient",ġenōg,enough,genug,genoeg,nock
ubilaz,"evil, bad",yfel,evil,übel,euvel,-
dailijaną,"to divide, to share, to deal",dǣlan,deal,teilen,delen,dela
ganganą,"to go, walk, step",gangan,gang,ging,-,gånga
gāną,"to go, walk",gān,go,gehen,gaan,gå
wangiją,side of the face; cheek,wænge,wanger,Wanger,-,-
laguz,"water, liquid",lagu,lay,-,-,lag
wainōną,"to cry, to lament, to grieve",wānian,ween,weinen,wenen,-
batiz,comparative degree of *wela,bet,bet,bass,bet,-
aiks,oak tree,āc,oak,Eiche,eik,ek
feþrō,feather,feþer,feather,Feder,veder,-
dawwą,moisture,dēaw,dew,Tau,dauw,dagg
þeudō,"people, tribe",þēod,theed,Diet,diet,tjod
þiudiskaz,"of the people, popular",þēodisc,thedish,Deutsch,Diets,tysk
neutaną,"to use, to make use of",nēotan,-,nießen,nieten,njuta
kunþaz,known,cūþ,couth,kund,kond,kund
fawaz,few,fēaw,few,-,-,få
managaz,many,maniġ,many,mannig,menig,mången
fuhǭ,"vixen, female fox",fogge,-,Fähe,voo,-
fuhsaz,fox,fox,fox,Fuchs,vos,-
sumaraz,summer,sumor,summer,Sommer,zomer,sommar
harbistaz,harvest,hærfest,harvest,Herbst,herfst,höst
jērą,year,ġēar,year,Jahr,jaar,år
meluks,milk,meolc,milk,Milch,melk,mjölk
skipą,ship,sċip,ship,Schiff,schip,skepp
skeutaną,"to shoot (especially of an arrow), dash",sċēotan,shoot,schießen,schieten,skjuta
skōhaz,shoe,sċōh,shoe,Schuh,schoen,sko
grōniz,green,grēne,green,grün,groen,grön
blēwaz,blue,blāw,blow,blau,blauw,blå
hwītaz,white,hwīt,white,weiß,wit,vit
swartaz,black,sweart,swart,schwarz,zwart,svart
skauniz,"beautiful, shining",sċīene,sheen,schön,schoon,skön
stainaz,stone,stān,stone,Stein,steen,sten
triwwiz,"true, faithful",trīewe,true,treu,trouw,trygg
mikilaz,"great, large",miċel,much,Mecklenburg,mekel,mycken
felu,"much, a lot",fela,fele,viel,veel,-
hwehwlą,wheel,hweogl,wheel,Wiel,wiel,vele
blōþą,blood,blōd,blood,Blut,bloed,blod
gulþą,gold,gold,gold,Gold,goud,gull
tahrą,tear (eye liquid),tēar,tear,Zähre,-,tår
glasą,"amber, glass",glæs,glass,Glas,glas,glas
luftuz,roof,lyft,loft,Luft,lucht,luft
bagmaz,tree,bēam,beam,beamen,beamen,bom
mahtiz,"power, ability",miht,might,Macht,macht,makt
þurpą,"village, rural settlement",þorp,thorp,-trop,terp,torp
bebruz,beaver,befer,beaver,Biber,bever,bäver
swīną,pig,swīn,swine,Schwein,zwijn,svin
dūbǭ,"dove, pigeon",*dūfe,dove,Taube,duif,duva
kalbaz,calf (young cow),ċealf,calf,Kalb,kalf,kalv
fulô,foal,fola,foal,-,vool,fåle
ēlaz,eel,ǣl,eel,Aal,aal,ål
lahsaz,salmon,leax,lax,Lachs,las,lax
sparwô,sparrow,spearwa,sparrow,Spatz,-,-
wisulǭ,weasel,weosule,weasel,Wiesel,wezel,vessla
swanaz,swan,swan,swan,Schwan,zwaan,svan
werką,work,weorc,work,Werk,werk,verk
wirkijaną,"to make, produce",wyrċan,work,wirken,werken,virka
kalzōną,"to call, shout",ceallian,call,kallen,kallen,kalla
jehwlą,"festivity, celebration",ġēol,Yule,Jul,joel,jul
mariswīną,"mereswine (porpoise, dolphin)",mereswīn,mereswine,Meerschwein,meerzwijn,marsvin
saiwiz,"body of water: lake, sea, ocean",sǣ,sea,See,zee,sjö
mēnô,moon,mōna,moon,Mond,maan,måne
tīwaz,"deity, god",Tīw,Tiw,-,-,Ti
sunnǭ,the sun,sunne,sun,Sonne,zon,sunna
-gaz,"-y; forms adjectives from nouns and verbs with a sense of “being, doing, or having”.",-iġ,-y,-ig,-ig,-og
þaką,"roof, cover",þæc,thack,Dach,dak,tak
þeubaz,thief,þēof,thief,Dieb,dief,tjuv
þrēaną,"to twist, to turn",þrāwan,throw,drehen,draaien,dreja
þrēduz,"thread, twisted fibre",þrǣd,thread,Draht,draad,tråd
þrinhwaną,"to press, to push",þringan,thring,dringen,dringen,-
þwahaną,"to wash, bathe",þwēan,-,zwagen,dwaan,två
ahaz,ear (of grain),ēar,ear,Ähre,aar,-
aiþaz,oath,āþ,oath,Eid,eed,ed
aihtiz,"possessions, property",ǣht,aught,Fracht,vracht,frakt
akraz,"field, open land",æcer,acre,Acker,akker,åker
anguz,"narrow, tight",ange,agnail,eng,eng,-
arbaidiz,"labour, work, toil",earfoþe,-,Arbeit,arbeid,arbete
þrangwijaną,to cause to press,*þrengan,-,drängen,-,tränga
bainą,leg,bān,bone,Bein,been,ben
berganą,to take care of,beorgan,-,bergen,bergen,bärga
berhtaz,"bright, shining",beorht,bright,Bert,Brecht,bjärt
bitraz,bitter,biter,bitter,bitter,bitter,bitter
swōtuz,sweet,swēte,sweet,süß,zoet,söt
blēaną,to blow,blāwan,blow,blähen,blaaien,-
glōdiz,glow,glēd,glede,Glut,gloed,glöd
dōmaz,judgement,dōm,doom,-,doem,dom
dauþuz,death,dēaþ,death,Tod,dood,död
daudaz,dead,dēad,dead,tot,dood,död
daubaz,stunned,dēaf,deaf,doof,doof,döv
deuzą,"animal, beast",dēor,deer,Tier,dier,djur
draganą,"to draw, to pull, to carry",dragan,draw,tragen,dragen,draga
dwīnaną,"to dwindle, disappear",dwīnan,dwine,-,dwijnen,tvina
dwergaz,dwarf,dweorg,dwarf,Zwerg,dwerg,dvärg
ebnaz,"even, level",efn,even,eben,even,även
erþō,earth,eorþe,earth,Erde,aarde,jord
fullijaną,"to fill, to make full",fyllan,fill,füllen,vullen,fylla
fulką,"troop, army",folc,folk,Volk,volk,folk
freusaną,to freeze,frēosan,freeze,frieren,vriezen,frysa
fanją,"fen, marsh, swamp",fenn,fen,Fenn,veen,fen
falkô,falcon,*fealca,-,Falke,valk,falk
hwalaz,whale,hwæl,whale,Wal,wal,val
gamainiz,"shared, communal, public",ġemǣne,mean,gemein,gemeen,gemen
gawissaz,"certain, sure",ġewiss,iwis,gewiss,gewis,viss
geldaną,to pay,ġieldan,yield,gelten,gelden,gälla
gladaz,"shining, shiny, radiant",glæd,glad,glatt,glad,glatt
hērą,hair,hǣr,hair,Haar,haar,hår
naudiz,need,nīed,need,Not,nood,nöd
raidō,"ride, journey",rād,road,Reede,rede,räd
juką,yoke,ġeoc,yoke,Joch,juk,ok
kurną,"corn, grain, cereal",corn,corn,Korn,koren,korn
knewą,knee,cnēow,knee,Knie,knie,knä
þingą,appointed time; date; appointment,þing,thing,Ding,ding,ting
steuraz,bull,stēor,steer,Stier,stier,-
kaldaz,cold,ċeald,cold,kalt,koud,kall
klimbaną,to climb,climban,climb,klimmen,klimmen,-
rōdō,"rod, pole",rōd,rood,Rute,roede,-
walhaz,"a foreigner, a non-Germanic, specifically",wealh,wealh,Walchen,Waal,-
wedrą,weather,weder,weather,Wetter,weder,väder
wilþijaz,wild,wilde,wild,wild,wild,vild
windaz,wind,wind,wind,Wind,wind,vind
seukaz,sick,sēoc,sick,siech,sick,sjuk
swē,"like, similar to",swā,so,so,zo,så
leuganą,"to lie, to tell a falsehood",lēogan,lie,lügen,liegen,ljuga
namô,name,nama,name,Name,naam,namn
namnijaną,"to name, to call, to give a name to",nemnan,neven,nennen,-,nämna
blindaz,blind,blind,blind,blind,blind,blind
braidaz,"broad, wide",brād,broad,breit,breed,bred
wikǭ,sequence,wiċe,week,Woche,week,vecka
gaizaz,"spear, pike, javelin",gār,garfish,Ger,geer,ger
manniskaz,human,mennisċ,mennish,Mensch,mens,människa
unwissaz,"uncertain, unsure",unġewiss,-,ungewiss,onwis,-
-ōną,Suffix of the infinitive. Creates denominative verbs from nouns.,-ian,-y,-en,-en,-a
-aną,The infinitive suffix of strong verbs and preterite-present verbs,-an,-en,-en,-en,-a
-naną,"Forms fientive verbs, with a sense of 'to become (the base)'.",-nian,-en,-,-,-na
lausaz,"loose, free",lēas,loose,los,loos,lös
waknaną,"to wake up, to awaken, to become awake",wæcnan,waken,-,-,vakna
libjaną,"to live, to be alive",libban,live,leben,leven,leva
frijōną,to love,frīġan,free,freien,vrijen,fria
frijōndz,"friend, loved one",frēond,friend,Freund,vriend,frynt
fijandz,"enemy, fiend",fēond,fiend,Feind,vijand,fiende
rūnō,"secret, mystery",rūn,roun,Raune,alruin,runa
uhsô,ox,oxa,ox,Ochse,os,oxe
haiduz,"manner, way",hād,hade,-heit,-heid,-het
hringaz,"ring, circle",hring,ring,Ring,ring,ring
maizô,comparative degree of *mikilaz,māra,more,mehr,meer,mera
maistaz,superlative degree of *mikilaz,mǣst,most,meist,meest,mest
airi,early,ǣr,ere,eher,eer,arla
airiz,"earlier, before; comparative degree of *airi",ǣr,ere,eher,eer,-
hesô,hare,hara,hare,Hase,haas,hare
warmaz,warm (having a higher temperature than usual),wearm,warm,warm,warm,varm
rehtaz,"right, straight",riht,right,recht,recht,rätt
rihtijaną,"to straighten, to set straight",rihtan,right,richten,richten,rätta
fraetaną,"to devour, eat up, consume",fretan,fret,fressen,vreten,fräta
-īnaz,"-en. Originally forming adjectives of material from nouns, meaning 'made of (noun)'; either later in proto-Germanic proper or a subsequent development in pre-Germanic expanding to also form adjectives or nominalised adjectives pertaining to a thing, as in ‘characteristic of (noun)’.",-en,-en,-en,-en,-
hwar,"where, in what place (interrogative)",hwǣr,where,wo,waar,var
librō,liver,lifer,liver,Leber,lever,lever
saiwalō,"soul, life force",sāwol,soul,Seele,ziel,själ
haimaz,home,hām,home,Heim,heem,hem
hūdiz,"skin, hide",hȳd,hide,Haut,huid,hud
naglaz,nail (on hands or feet),næġl,nail,Nagel,nagel,nagel
fingraz,finger,finger,finger,Finger,vinger,finger
kussaz,kiss,coss,kiss,Kuss,kus,kyss
kussijaną,to kiss,cyssan,kiss,küssen,kussen,kyssa
laugō,"bath, wash",lēaġ,lye,Lauge,loog,lög
beuganą,"to bend, bow",būgan,bow,biegen,buigen,buga
ubiri,"over, above",yferra,uber,über,-,över
upanaz,open,open,open,offen,open,öppen
hurną,horn,horn,horn,Horn,hoorn,horn
-ārijaz,"-er. Forms agent nouns, especially denoting occupations, from other nouns.",-ere,-er,-er,-er,-are
brūdiz,bride,brȳd,bride,Braut,bruid,brud
brūdigumô,"bridegroom, husband of the bride",brydguma,bridegroom,Bräutigam,bruidegom,brudgum
jestuz,fermentation; byproducts or agents of fermentation; yeast,ġiest,yeast,Gest,gist,jäst
hailaz,"whole, unbroken, intact",hāl,whole,eil,heel,hel
hailaz,"omen, portent",hǣl,-,Heil,heil,-
hailagaz,"holy, sacred",hāliġ,holy,heilig,heilig,helig
hailijaną,"to make whole, to mend",hǣlan,heal,heilen,healen,hela
hailagōną,"to hallow, to make holy, to sanctify",*hālegian,hallow,heiligen,heiligen,helga
selhaz,seal (animal),seolh,seal,Seel,-,säl
gutô,"a Gute, Gotlander",Gota,Goth,Gote,-,gute
swēbaz,"someone of the Suebi (a Swabian, but this has a modern meaning)",Swǣfas,Suebi,Schwabe,Zwaab,-
durz,"door, hatch, flap",duru,door,Tür,deur,dörr
lūs,louse,lūs,louse,Laus,luis,lus
þakjaną,to cover (with a roof),þeċċean,thatch,decken,dekken,täcka
